filename,width,height,class,xmin,ymin,xmax,ymax
151.jpg,800,600,Green,516,394,554,473
151.jpg,800,600,Green,363,390,401,469
153.jpg,800,600,Yellow,518,396,553,475
153.jpg,800,600,Yellow,366,390,401,469
153.jpg,800,600,Yellow,208,385,243,464
154.jpg,800,600,Yellow,518,396,553,475
154.jpg,800,600,Yellow,365,391,400,470
154.jpg,800,600,Yellow,208,386,243,465
156.jpg,800,600,Red,172,340,215,435
156.jpg,800,600,Red,549,353,590,447
156.jpg,800,600,Red,364,347,404,444
157.jpg,800,600,Red,171,339,214,434
157.jpg,800,600,Red,363,346,406,441
157.jpg,800,600,Red,547,355,590,450
158.jpg,800,600,Red,171,341,214,436
158.jpg,800,600,Red,548,353,591,448
158.jpg,800,600,Red,362,347,405,442
159.jpg,800,600,Red,170,341,213,436
159.jpg,800,600,Red,547,354,590,449
159.jpg,800,600,Red,362,347,405,442
16.jpg,800,600,Red,111,237,173,367
16.jpg,800,600,Red,636,245,698,375
16.jpg,800,600,Red,373,242,435,372
160.jpg,800,600,Red,171,339,214,436
160.jpg,800,600,Red,549,354,592,451
160.jpg,800,600,Red,362,347,405,444
161.jpg,800,600,Red,547,352,590,449
161.jpg,800,600,Red,363,348,406,445
161.jpg,800,600,Red,170,341,213,438
162.jpg,800,600,Red,361,346,404,443
162.jpg,800,600,Red,547,354,590,451
162.jpg,800,600,Red,171,340,214,437
163.jpg,800,600,Red,548,353,591,450
163.jpg,800,600,Red,171,341,214,438
163.jpg,800,600,Red,362,347,405,444
164.jpg,800,600,Red,548,354,591,451
164.jpg,800,600,Red,363,348,406,445
164.jpg,800,600,Red,170,341,213,438
165.jpg,800,600,Green,170,340,213,436
165.jpg,800,600,Green,549,355,592,451
165.jpg,800,600,Green,362,346,405,442
167.jpg,800,600,Green,547,353,590,449
167.jpg,800,600,Green,362,346,405,442
167.jpg,800,600,Green,172,340,215,436
17.jpg,800,600,Red,113,238,170,370
17.jpg,800,600,Red,111,236,168,368
17.jpg,800,600,Red,639,245,696,377
17.jpg,800,600,Red,375,240,432,372
173.jpg,800,600,Red,306,550,316,572
173.jpg,800,600,Red,396,552,406,575
173.jpg,800,600,Red,351,551,361,574
175.jpg,800,600,Red,351,551,361,574
175.jpg,800,600,Red,396,552,406,575
175.jpg,800,600,Red,306,550,316,573
176.jpg,800,600,Green,297,538,309,565
176.jpg,800,600,Green,404,540,416,567
176.jpg,800,600,Green,351,539,363,566
177.jpg,800,600,Green,350,539,362,566
177.jpg,800,600,Green,403,540,415,567
177.jpg,800,600,Green,297,537,309,564
178.jpg,800,600,Green,350,539,362,566
178.jpg,800,600,Green,404,540,416,567
178.jpg,800,600,Green,297,538,309,565
179.jpg,800,600,Green,350,539,362,566
179.jpg,800,600,Green,297,538,309,565
179.jpg,800,600,Green,403,541,415,568
18.jpg,800,600,Red,114,237,171,367
18.jpg,800,600,Red,639,245,696,375
18.jpg,800,600,Red,375,240,432,370
181.jpg,800,600,Red,292,534,305,562
181.jpg,800,600,Red,404,536,417,564
181.jpg,800,600,Red,348,535,361,563
182.jpg,800,600,Red,349,534,361,564
182.jpg,800,600,Red,292,533,305,562
182.jpg,800,600,Red,404,536,417,565
184.jpg,800,600,Red,292,534,305,562
184.jpg,800,600,Red,404,536,417,564
184.jpg,800,600,Red,348,535,361,563
185.jpg,800,600,Red,404,537,417,565
185.jpg,800,600,Red,348,535,361,563
185.jpg,800,600,Red,292,533,305,561
19.jpg,800,600,Red,111,237,171,368
19.jpg,800,600,Red,640,243,700,374
19.jpg,800,600,Red,375,240,435,371
191.jpg,800,600,Yellow,313,526,327,558
191.jpg,800,600,Yellow,435,529,449,561
191.jpg,800,600,Yellow,374,528,388,560
192.jpg,800,600,Yellow,435,528,449,560
192.jpg,800,600,Yellow,374,528,388,560
192.jpg,800,600,Yellow,313,526,327,558
194.jpg,800,600,Yellow,435,529,449,560
194.jpg,800,600,Yellow,374,528,388,560
194.jpg,800,600,Yellow,313,526,327,558
195.jpg,800,600,Yellow,435,529,449,560
195.jpg,800,600,Yellow,375,528,389,559
195.jpg,800,600,Yellow,313,526,327,558
196.jpg,800,600,Red,374,528,388,559
196.jpg,800,600,Red,313,526,327,558
196.jpg,800,600,Red,434,529,449,560
197.jpg,800,600,Red,309,525,324,556
197.jpg,800,600,Red,433,528,448,559
197.jpg,800,600,Red,371,526,386,557
198.jpg,800,600,Red,434,528,448,559
198.jpg,800,600,Red,372,526,386,558
198.jpg,800,600,Red,310,525,324,556
199.jpg,800,600,Red,310,525,324,556
199.jpg,800,600,Red,372,526,386,558
199.jpg,800,600,Red,434,528,448,559
2.jpg,800,600,Red,127,259,182,384
2.jpg,800,600,Red,622,266,677,391
2.jpg,800,600,Red,373,262,428,387
20.jpg,800,600,Red,374,239,436,372
20.jpg,800,600,Red,111,234,171,366
20.jpg,800,600,Red,638,243,700,376
200.jpg,800,600,Red,309,525,324,557
200.jpg,800,600,Red,434,528,448,559
200.jpg,800,600,Red,372,526,386,559
201.jpg,800,600,Red,434,528,448,559
201.jpg,800,600,Red,372,526,386,557
201.jpg,800,600,Red,310,525,324,556
202.jpg,800,600,Red,434,527,448,558
202.jpg,800,600,Red,372,524,387,557
202.jpg,800,600,Red,309,524,323,555
203.jpg,800,600,Red,372,525,386,557
203.jpg,800,600,Red,434,527,448,559
203.jpg,800,600,Red,309,524,323,556
204.jpg,800,600,Red,434,527,448,559
204.jpg,800,600,Red,372,525,386,557
204.jpg,800,600,Red,309,524,323,556
206.jpg,800,600,Red,116,480,136,525
206.jpg,800,600,Red,295,484,315,529
206.jpg,800,600,Red,207,483,227,528
207.jpg,800,600,Red,116,480,136,525
207.jpg,800,600,Red,296,485,316,530
207.jpg,800,600,Red,206,482,226,527
208.jpg,800,600,Red,117,479,137,524
208.jpg,800,600,Red,297,484,317,529
208.jpg,800,600,Red,207,482,227,527
209.jpg,800,600,Red,296,486,316,531
209.jpg,800,600,Red,117,480,137,525
209.jpg,800,600,Red,207,482,227,527
21.jpg,800,600,Green,108,226,165,364
21.jpg,800,600,Green,647,234,704,372
21.jpg,800,600,Green,376,229,433,367
210.jpg,800,600,Red,208,482,228,527
210.jpg,800,600,Red,118,479,138,524
210.jpg,800,600,Red,298,486,318,531
212.jpg,800,600,Green,212,480,231,527
212.jpg,800,600,Green,303,482,322,529
212.jpg,800,600,Green,121,477,140,524
218.jpg,800,600,Yellow,103,461,126,512
218.jpg,800,600,Yellow,308,467,331,518
218.jpg,800,600,Yellow,206,464,230,515
220.jpg,800,600,Yellow,318,465,341,517
220.jpg,800,600,Yellow,215,462,238,514
220.jpg,800,600,Yellow,110,459,134,512
234.jpg,800,600,Red,321,461,346,514
234.jpg,800,600,Red,108,455,133,508
234.jpg,800,600,Red,216,459,241,512
235.jpg,800,600,Red,107,454,132,507
235.jpg,800,600,Red,321,461,346,514
235.jpg,800,600,Red,216,459,241,512
236.jpg,800,600,Green,435,506,452,545
236.jpg,800,600,Green,590,508,607,547
236.jpg,800,600,Green,512,508,529,547
239.jpg,800,600,Yellow,440,503,459,542
239.jpg,800,600,Yellow,598,504,618,544
239.jpg,800,600,Yellow,518,503,537,542
241.jpg,800,600,Yellow,598,504,618,544
241.jpg,800,600,Yellow,438,502,458,542
241.jpg,800,600,Yellow,518,504,538,544
248.jpg,800,600,Red,517,501,537,541
248.jpg,800,600,Red,598,503,618,543
248.jpg,800,600,Red,437,501,457,541
250.jpg,800,600,Red,529,495,550,536
250.jpg,800,600,Red,617,497,635,539
250.jpg,800,600,Red,445,495,465,536
251.jpg,800,600,Red,531,497,549,538
251.jpg,800,600,Red,445,495,465,537
251.jpg,800,600,Red,616,497,635,539
253.jpg,800,600,Red,617,497,637,538
253.jpg,800,600,Red,446,495,466,536
253.jpg,800,600,Red,532,497,552,538
254.jpg,800,600,Red,531,497,551,538
254.jpg,800,600,Red,446,495,466,536
254.jpg,800,600,Red,616,497,636,540
52.jpg,800,600,Yellow,44,132,123,296
52.jpg,800,600,Yellow,374,137,453,301
52.jpg,800,600,Yellow,707,144,786,308
53.jpg,800,600,Red,36,120,119,288
53.jpg,800,600,Red,713,131,796,299
53.jpg,800,600,Red,373,126,456,294
71.jpg,800,600,Red,611,588,617,600
71.jpg,800,600,Red,636,588,642,600
71.jpg,800,600,Red,661,588,667,600
72.jpg,800,600,Green,457,570,464,588
72.jpg,800,600,Green,491,571,498,589
72.jpg,800,600,Green,525,572,533,589
73.jpg,800,600,Green,454,570,464,588
73.jpg,800,600,Green,490,571,497,589
73.jpg,800,600,Green,524,571,532,589
78.jpg,800,600,Red,122,416,152,482
78.jpg,800,600,Red,389,422,419,488
78.jpg,800,600,Red,258,421,288,487
85.jpg,800,600,Red,389,421,419,487
85.jpg,800,600,Red,257,420,287,486
85.jpg,800,600,Red,122,416,152,482
90.jpg,800,600,Green,122,416,152,482
90.jpg,800,600,Green,256,420,286,486
90.jpg,800,600,Green,390,423,420,489
99.jpg,800,600,Green,107,406,140,478
99.jpg,800,600,Green,387,414,420,486
99.jpg,800,600,Green,249,411,282,483
